,date,count_commits,count_issues,count_pulls,price
443,2012-03-07,1275,262,449,4.99
444,2012-03-08,1275,262,449,4.94
445,2012-03-09,1275,262,449,4.93
446,2012-03-10,1276,266,450,4.86
447,2012-03-11,1277,266,453,4.83
448,2012-03-12,1281,268,453,4.91
449,2012-03-13,1282,268,454,4.89
450,2012-03-14,1283,269,454,5.27
451,2012-03-15,1284,271,456,5.38
452,2012-03-16,1289,271,457,5.33
453,2012-03-17,1289,274,457,5.34
454,2012-03-18,1290,274,461,5.22
455,2012-03-19,1293,276,465,5.28
456,2012-03-20,1298,280,471,4.69
457,2012-03-21,1310,280,476,4.84
458,2012-03-22,1321,282,480,4.81
459,2012-03-23,1322,282,482,4.7
460,2012-03-24,1322,282,482,4.69
461,2012-03-25,1326,283,485,4.68
462,2012-03-26,1343,284,492,4.55
463,2012-03-27,1343,285,494,4.62
464,2012-03-28,1343,285,494,4.81
465,2012-03-29,1352,287,499,4.79
466,2012-03-30,1352,288,500,4.81
467,2012-03-31,1353,290,502,4.86
468,2012-04-01,1353,290,505,4.91
469,2012-04-02,1361,291,507,4.83
470,2012-04-03,1365,294,509,4.97
471,2012-04-04,1382,294,515,4.95
472,2012-04-05,1396,297,522,4.91
473,2012-04-06,1402,300,524,4.92
474,2012-04-07,1402,300,524,4.95
475,2012-04-08,1405,305,525,4.69
476,2012-04-09,1407,308,527,4.79
477,2012-04-10,1412,310,528,4.87
478,2012-04-11,1420,314,532,4.84
479,2012-04-12,1426,315,533,4.93
480,2012-04-13,1430,316,541,4.92
481,2012-04-14,1436,318,543,4.94
482,2012-04-15,1447,320,551,4.96
483,2012-04-16,1449,322,552,4.97
484,2012-04-17,1464,324,557,4.93
485,2012-04-18,1468,325,559,4.98
486,2012-04-19,1469,326,560,5.12
487,2012-04-20,1473,327,561,5.14
488,2012-04-21,1483,328,563,5.35
489,2012-04-22,1486,331,570,5.26
490,2012-04-23,1486,331,570,5.2
491,2012-04-24,1486,334,571,4.96
492,2012-04-25,1489,334,572,5.1
493,2012-04-26,1498,337,574,5.13
494,2012-04-27,1502,340,574,5.1
495,2012-04-28,1502,340,574,5.11
496,2012-04-29,1505,342,576,4.98
497,2012-04-30,1506,345,577,4.9
498,2012-05-01,1509,345,582,4.95
499,2012-05-02,1510,351,582,5.0
500,2012-05-03,1512,354,584,5.07
501,2012-05-04,1521,355,586,5.13
502,2012-05-05,1539,355,597,5.07
503,2012-05-06,1546,357,601,5.08
504,2012-05-07,1550,359,604,5.05
505,2012-05-08,1558,364,607,5.06
506,2012-05-09,1580,372,618,5.05
507,2012-05-10,1582,374,621,5.04
508,2012-05-11,1608,375,630,4.85
509,2012-05-12,1629,379,637,4.96
510,2012-05-13,1650,381,646,4.95
511,2012-05-14,1662,384,660,4.93
512,2012-05-15,1666,388,665,5.01
513,2012-05-16,1672,389,669,5.04
514,2012-05-17,1686,390,690,5.09
515,2012-05-18,1697,391,698,5.1
516,2012-05-19,1702,392,701,5.12
517,2012-05-20,1712,392,703,5.1
518,2012-05-21,1718,393,708,5.09
519,2012-05-22,1728,394,716,5.1
520,2012-05-23,1732,394,717,5.1
521,2012-05-24,1736,396,720,5.14
522,2012-05-25,1749,398,721,5.12
